"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-20 19:51:26.004,google,organic,,1,0,1,1,356400
2023-06-21 05:37:36.565,organic,organic,,1,0,1,1,268200
2023-06-28 15:12:16.901,organic,organic,,1,0,1,1,265174
2023-06-01 16:00:22.570,google,organic,,1,0,1,1,242248
2023-06-05 09:36:54.501,google,organic,,1,0,1,1,237990
2023-06-02 09:03:02.114,google,organic,,1,0,1,1,223500
2023-06-20 17:57:06.443,google,organic,,1,0,1,1,211083
2023-06-01 10:45:05.607,google,organic,,1,0,1,1,201150
2023-06-01 14:39:00.000,yandex,cpc,base-frontend,1,0,1,1,201150
2023-06-01 04:58:00.000,vk,cpc,freemium-frontend,1,0,1,1,189210
2023-06-01 10:44:00.000,yandex,cpc,freemium,1,0,1,1,188991
2023-06-01 14:57:00.000,yandex,cpc,prof-frontend,1,0,1,1,180306
2023-06-01 03:41:00.000,vk,cpc,prof-java,1,0,1,1,178800
2023-06-05 16:44:30.063,organic,organic,,1,0,1,1,167992
2023-06-11 20:13:37.677,google,organic,,1,0,1,1,167625
